(oui, si)
(non, no)
(maison, casa)
(devoirs, tarea)
(femme, mujer)
(chien, perro)
(ville, pueblo)
(chat, gato)
(livre, libro)
(table, mesa)
(chaise, silla)
(porte, puerta)
(fenetre, ventana)
(eau, agua)
(pain, pan)
(lait, leche)
(voiture, carro)
(arbre, arbol)
(fleur, flor)
(soleil, sol)
(lune, luna)
(etoile, estrella)
(mer, mar)
(montagne, montana)
(riviere, rio)
(forêt, bosque)
(chemin, camino)
(pont, puente)
(ciel, cielo)
(nuage, nube)
(pluie, lluvia)
(neige, nieve)
(vent, viento)
(feu, fuego)
(terre, tierra)
(homme, hombre)
(enfant, nino)
(ami, amigo)
(famille, familia)
(mere, madre)
(pere, padre)
(frere, hermano)
(soeur, hermana)
(fils, hijo)
(fille, hija)
(grand, grande)
(petit, pequeno)
(beau, bonito)
(vieux, viejo)
(jeune, joven)
(rouge, rojo)
(bleu, azul)
(vert, verde)
(blanc, blanco)
(noir, negro)
(jaune, amarillo)
(manger, comer)
(boire, beber)
(dormir, dormir)
(courir, correr)
(marcher, caminar)
(parler, hablar)
(lire, leer)
(ecrire, escribir)
(voir, ver)
(entendre, escuchar)
(savoir, saber)
(vouloir, querer)
(pouvoir, poder)
(faire, hacer)
(aller, ir)
(venir, venir)
(prendre, tomar)
(donner, dar)
(trouver, encontrar)
(chercher, buscar)
(aimer, amar)
(travailler, trabajar)
(jouer, jugar)
(chanter, cantar)
(danser, bailar)
(rire, reir)
(pleurer, llorar)
(penser, pensar)
(comprendre, entender)
(repondre, responder)
(demander, preguntar)
(attendre, esperar)
(partir, salir)
(rentrer, regresar)
(ouvrir, abrir)
(fermer, cerrar)
(mettre, poner)
(tenir, sostener)
(rester, quedarse)
(tomber, caer)
(lever, levantar)
(asseoir, sentar)
(ecole, escuela)
(classe, clase)
(professeur, maestro)
(eleve, alumno)
(stylo, lapicero)
(crayon, lapiz)
(cahier, cuaderno)
(sac, bolsa)
(rue, calle)
(magasin, tienda)
(marche, mercado)
(restaurant, restaurante)
(hopital, hospital)
(église, iglesia)
(banque, banco)
(poste, correo)
(gare, estacion)
(aéroport, aeropuerto)
(plage, playa)
(parc, parque)
(jardin, jardin)
(cuisine, cocina)
(chambre, cuarto)
(salon, sala)
(salle, habitacion)
(lit, cama)
(armoire, armario)
(miroir, espejo)
(telephone, telefono)
(ordinateur, computadora)
(musique, musica)
(film, pelicula)
(sport, deporte)
(football, futbol)
(temps, tiempo)
(jour, dia)
(nuit, noche)
(matin, manana)
(soir, tarde)
(semaine, semana)
(mois, mes)
(annee, año)
(hier, ayer)
(aujourd, hoy)
(demain, manana)
(toujours, siempre)
(jamais, nunca)
(souvent, seguido)
(parfois, aveces)
(beaucoup, mucho)
(peu, poco)
(tres, muy)
(bien, bien)
(mal, mal)
(vite, rapido)
(lentement, despacio)
(ici, aqui)
(là, alla)
(avec, con)
(sans, sin)
(pour, para)
(contre, contra)
(sur, sobre)
(sous, debajo)
(dans, dentro)
(entre, entre)
(avant, antes)
(après, despues)
(maintenant, ahora)
(encore, todavia)
(déjà, ya)
(aussi, también)
(mais, pero)
(donc, entonces)
(car, porque)
(si, si)
(quand, cuando)
(comment, como)
(pourquoi, porque)
(combien, cuanto)
(bonjour, hola)
(bonsoir, buenas tardes)
(bonne nuit, buenas noches)
(merci, gracias)
(bienvenue, bienvenido)
(pardon, perdon)
(désolé, lo siento)
(excusez, disculpe)
(aide, ayuda)
(problème, problema)
(question, pregunta)
(réponse, respuesta)
(histoire, historia)
(science, ciencia)
(mathématiques, matematicas)
(art, arte)
(couleur, color)
(image, imagen)
(carte, mapa)
(pays, pais)
(monde, mundo)
(guerre, guerra)
(paix, paz)
(liberté, libertad)
(amour, amor)
(bonheur, felicidad)
(vie, vida)
(mort, muerte)
(santé, salud)
(maladie, enfermedad)
(médecin, doctor)
(médicament, medicamento)
(argent, dinero)
(travail, trabajo)
(mariage, matrimonio)
(fête, fiesta)
(cadeau, regalo)
(nourriture, comida)
(fruit, fruta)
(légume, verdura)
(viande, carne)
(poisson, pescado)
(fromage, queso)
(sucre, azucar)
(sel, sal)
(café, cafe)
(thé, te)
(vin, vino)
(bière, cerveza)
